227,bigquery,TIME,kinetica,time
228,bigquery,NUMERIC,kinetica,decimal
229,bigquery,BIGNUMERIC,kinetica,decimal
230,bigquery,BYTES,kinetica,bytes
231,bigquery,string,mysql,text
232,bigquery,bytes,mysql,text
233,bigquery,decimal,mysql,decimal
234,bigquery,bigdecimal,mysql,varchar
235,bigquery,date,mysql,date
236,bigquery,datetime,mysql,datetime
237,bigquery,float64,mysql,float
238,bigquery,numeric,mysql,numeric
239,bigquery,bignumeric,mysql,numeric
240,bigquery,boolean,mysql,bool
241,bigquery,bool,mysql,bool
242,bigquery,json,mysql,json
243,bigquery,array,mysql,json
244,bigquery,timestamp,mysql,timestamp
245,bigquery,interval,mysql,timestamp
246,bigquery,time,mysql,time
247,bigquery,int64,mysql,integer
248,bigquery,integer,mysql,integer
249,bigquery,bigint,mysql,bigint
250,bigquery,smallint,mysql,smallint
251,bigquery,tinyint,mysql,tinyint
252,bigquery,byteint,mysql,tinyint
253,bigquery,string,postgres,character varying
254,bigquery,int64,postgres,bigint
255,bigquery,bigint,postgres,bigint
256,bigquery,array,postgres,array
257,bigquery,date,postgres,date
258,bigquery,boolean,postgres,boolean
259,bigquery,bool,postgres,boolean
260,bigquery,time,postgres,time
261,bigquery,json,postgres,json
262,bigquery,bytes,postgres,bytea
263,bigquery,numeric,postgres,numeric
264,bigquery,interval,postgres,interval
265,bigquery,int,postgres,integer
266,bigquery,integer,postgres,integer
267,bigquery,tinyint,postgres,smallint
268,bigquery,byteint,postgres,smallint
269,bigquery,decimal,postgres,decimal
270,bigquery,float64,postgres,decimal
271,bigquery,timestamp,postgres,timestamp
272,bigquery,datetime,postgres,timestamp
273,bigquery,STRING,snowflake,STRING
274,bigquery,TIMESTAMP,snowflake,TIMESTAMP
275,bigquery,INT64,snowflake,INTEGER
276,bigquery,FLOAT64,snowflake,FLOAT
277,bigquery,ARRAY,snowflake,ARRAY
278,bigquery,DATE,snowflake,DATE
279,bigquery,DATETIME,snowflake,DATETIME
280,bigquery,BOOLEAN,snowflake,BOOLEAN
281,bigquery,TIME,snowflake,TIME
282,bigquery,GEOGRAPHY,snowflake,GEOGRAPHY
283,bigquery,NUMERIC,snowflake,NUMERIC
284,bigquery,BIGNUMERIC,snowflake,NUMBER
285,bigquery,BYTES,snowflake,BINARY
286,bigquery,STRUCT,snowflake,OBJECT
287,postgres,character,kinetica,string
288,postgres,character varying,kinetica,string
289,postgres,cidr,kinetica,string
290,postgres,inet,kinetica,string
291,postgres,json,kinetica,string
292,postgres,macaddr,kinetica,string
293,postgres,macaddr8,kinetica,string
294,postgres,text,kinetica,string
295,postgres,uuid,kinetica,string
296,postgres,varchar,kinetica,string
297,postgres,boolean,kinetica,string
298,postgres,bool,kinetica,string
299,postgres,mpaa_rating,kinetica,string
300,postgres,_text,kinetica,string
301,postgres,tsvector,kinetica,string
302,postgres,bpchar,kinetica,string
303,postgres,bytea,kinetica,bytes
304,postgres,bit,kinetica,int8
305,postgres,bit varying,kinetica,int8
306,postgres,smallint,kinetica,int16
307,postgres,smallserial,kinetica,int16
308,postgres,int2,kinetica,int16
309,postgres,serial,kinetica,int
310,postgres,integer,kinetica,int
311,postgres,int,kinetica,int
312,postgres,int4,kinetica,int
313,postgres,year,kinetica,int
314,postgres,bigint,kinetica,long
315,postgres,bigserial,kinetica,long
316,postgres,real,kinetica,float
317,postgres,double,kinetica,double
318,postgres,double precision,kinetica,double
319,postgres,numeric,kinetica,double
320,postgres,decimal,kinetica,decimal
321,postgres,date,kinetica,date
322,postgres,time,kinetica,time
323,postgres,timestamp,kinetica,datetime
324,postgres,bytea,mysql,VARBINARY
325,postgres,macaddr8,mysql,VARCHAR
326,postgres,money,mysql,FLOAT
327,postgres,numeric,mysql,NUMERIC
328,postgres,inet,mysql,INT UNSIGNED
329,postgres,real,mysql,REAL
330,postgres,smallint,mysql,SMALLINT
331,postgres,small serial,mysql,SMALLINT
332,postgres,text,mysql,TEXT
333,postgres,varchar,mysql,TEXT
334,postgres,bpchar,mysql,TEXT
335,postgres,time,mysql,TIME
336,postgres,timestamp,mysql,TIMESTAMP
337,postgres,interval,mysql,TIMESTAMP
338,postgres,integer,mysql,INT
339,postgres,serial,mysql,INT
340,postgres,int2,mysql,INT
341,postgres,int4,mysql,INT
342,postgres,character,mysql,CHAR
343,postgres,character varying,mysql,VARCHAR
344,postgres,cidr,mysql,BIGINT UNSIGNED
345,postgres,json,mysql,JSON
346,postgres,date,mysql,DATE
347,postgres,double precision,mysql,DOUBLE PRECISION
348,postgres,boolean,mysql,BOOL
349,postgres,bool,mysql,BOOL
350,postgres,macaddr,mysql,VARCHAR
351,postgres,bigint,mysql,BIGINT
352,postgres,big serial,mysql,BIGINT
353,postgres,bytea,mysql,VARBINARY
354,postgres,jsonb,mysql,LONGBLOB
355,postgres,bigint,bigquery,int64
356,postgres,bigserial,bigquery,int64
357,postgres,cidr,bigquery,int64
358,postgres,inet,bigquery,int64
359,postgres,integer,bigquery,int64
360,postgres,smallint,bigquery,int64
361,postgres,smallserial,bigquery,int64
362,postgres,serial,bigquery,int64
363,postgres,int2,bigquery,int64
364,postgres,int4,bigquery,int64
365,postgres,year,bigquery,int64
366,postgres,bit,bigquery,int64
367,postgres,bit varying,bigquery,bytes
368,postgres,bytea,bigquery,bytes
369,postgres,boolean,bigquery,bool
370,postgres,bool,bigquery,bool
371,postgres,character,bigquery,string
372,postgres,character varying,bigquery,string
373,postgres,macaddr,bigquery,string
