225;;mysql;;tinytext;;postgres;;text
226;;mysql;;text;;postgres;;text
227;;mysql;;mediumtext;;postgres;;text
228;;mysql;;longtext;;postgres;;text
229;;mysql;;tinyblob;;postgres;;bytea
230;;mysql;;blob;;postgres;;bytea
231;;mysql;;mediumblob;;postgres;;bytea
232;;mysql;;binary;;postgres;;bytea
233;;mysql;;varbinary;;postgres;;bytea
234;;mysql;;longblob;;postgres;;bytea
235;;mysql;;enum;;postgres;;enum
236;;mysql;;set;;postgres;;set
237;;mysql;;lseg;;postgres;;linestring
238;;mysql;;date;;postgres;;date
239;;mysql;;datetime;;postgres;;timestamp
240;;mysql;;timestamp;;postgres;;timestamp
241;;mysql;;time;;postgres;;timestamp
242;;mysql;;json;;postgres;;json
243;;mysql;;char;;snowflake;;char
244;;mysql;;varchar;;snowflake;;varchar
245;;mysql;;tinytext;;snowflake;;text
246;;mysql;;text;;snowflake;;text
247;;mysql;;longtext;;snowflake;;text
248;;mysql;;enum;;snowflake;;text
249;;mysql;;mediumtext;;snowflake;;text
250;;mysql;;binary;;snowflake;;binary
251;;mysql;;varbinary;;snowflake;;varbinary
252;;mysql;;blob;;snowflake;;varbinary
253;;mysql;;boolean;;snowflake;;boolean
254;;mysql;;bit;;snowflake;;boolean
255;;mysql;;bool;;snowflake;;boolean
256;;mysql;;int;;snowflake;;integer
257;;mysql;;int unsigned;;snowflake;;integer
258;;mysql;;integer;;snowflake;;integer
259;;mysql;;mediumint;;snowflake;;integer
260;;mysql;;mediumint unsigned;;snowflake;;integer
261;;mysql;;tinyint;;snowflake;;tinyint
262;;mysql;;tinyint unsigned;;snowflake;;tinyint
263;;mysql;;smallint;;snowflake;;smallint
264;;mysql;;smallint unsigned;;snowflake;;smallint
265;;mysql;;year;;snowflake;;smallint
266;;mysql;;bigint;;snowflake;;bigint
267;;mysql;;bigint unsigned;;snowflake;;bigint
268;;mysql;;float;;snowflake;;float
269;;mysql;;float unsigned;;snowflake;;float
270;;mysql;;double;;snowflake;;double
271;;mysql;;double unsigned;;snowflake;;double
272;;mysql;;double precision;;snowflake;;double precision
273;;mysql;;decimal;;snowflake;;decimal
274;;mysql;;dec;;snowflake;;decimal
275;;mysql;;timestamp;;snowflake;;timestamp
276;;mysql;;date;;snowflake;;date
277;;mysql;;datetime;;snowflake;;datetime
278;;mysql;;time;;snowflake;;time
279;;mysql;;geometry;;snowflake;;geography
280;;mysql;;set;;snowflake;;array
281;;mysql;;tinyblob;;snowflake;;variant
282;;mysql;;mediumblob;;snowflake;;variant
283;;mysql;;longblob;;snowflake;;variant
284;;mysql;;json;;snowflake;;variant
285;;mysql;;point;;snowflake;;object
286;;mysql;;linestring;;snowflake;;object
